average_rating,log_ratings_count,log_text_review_count,log_num_pages,book_age,is_box_set,popularity_class,author_type_group,author_type_solo
4.18,5.961005339623274,3.4339872044851463,5.771441123130016,9.0,0.0,0.0,0.0,0.0
4.13,7.769378609513984,5.44673737166631,5.484796933490655,9.0,0.0,1.0,0.0,1.0
3.83,6.661854740545311,4.543294782270004,5.488937726156687,10.0,0.0,0.0,0.0,1.0
4.29,6.194405391104672,4.060443010546419,6.111467339502679,10.0,0.0,0.0,0.0,0.0
3.37,4.762173934797756,2.5649493574615367,4.61512051684126,10.0,0.0,2.0,0.0,0.0
4.39,7.478169694159785,4.543294782270004,5.796057750765372,10.0,0.0,0.0,1.0,0.0
3.53,4.276666119016055,2.70805020110221,5.53338948872752,10.0,0.0,2.0,0.0,0.0
4.32,8.9445502459405,6.499787040655854,5.429345628954441,10.0,0.0,1.0,0.0,0.0
3.9,5.8377304471659395,3.1780538303479458,5.262690188904886,10.0,0.0,0.0,0.0,1.0
3.48,3.1354942159291497,1.6094379124341003,5.953243334287785,10.0,0.0,2.0,1.0,0.0
4.12,8.360071435644025,5.564520407322694,5.081404364984463,10.0,0.0,1.0,0.0,1.0
4.13,7.992944547318106,5.236441962829949,5.7745515455444085,10.0,0.0,1.0,0.0,1.0
4.14,11.094830940461922,7.7488913372555315,5.666426688112432,11.0,0.0,1.0,0.0,1.0
4.3,8.185350223178686,5.19295685089021,5.262690188904886,11.0,0.0,1.0,0.0,1.0
3.65,9.71420180194054,7.510430556378006,5.752572638825633,11.0,0.0,1.0,0.0,1.0
3.86,10.866967167212742,7.641084249174914,5.676753802268282,11.0,0.0,1.0,0.0,1.0
4.28,5.717027701406222,3.8066624897703196,5.605802066295998,11.0,0.0,0.0,0.0,0.0
4.12,6.028278520230698,3.295836866004329,6.2285110035911835,11.0,0.0,0.0,0.0,1.0
3.68,9.218110109240543,6.18826412308259,5.459585514144159,11.0,0.0,1.0,0.0,1.0
3.91,8.86827250899781,6.405228458030842,5.545177444479562,12.0,0.0,1.0,0.0,1.0
3.9,13.29179555523804,8.960852845322371,5.521460917862246,12.0,0.0,1.0,0.0,1.0
4.15,8.57715877258367,5.730099782973574,4.727387818712341,12.0,0.0,1.0,0.0,1.0
4.08,4.442651256490317,1.6094379124341003,6.6240652277998935,12.0,0.0,2.0,0.0,1.0
4.24,8.759197750371365,5.730099782973574,5.342334251964811,12.0,0.0,1.0,0.0,0.0
3.99,8.38320455141292,4.406719247264253,5.666426688112432,12.0,0.0,1.0,0.0,1.0
4.07,4.442651256490317,2.0794415416798357,4.330733340286331,12.0,0.0,2.0,0.0,0.0
3.94,1.0986122886681098,0.6931471805599453,5.771441123130016,12.0,0.0,2.0,1.0,0.0
4.05,6.22455842927536,3.8066624897703196,4.812184355372417,12.0,0.0,0.0,0.0,1.0
4.17,6.22455842927536,3.1780538303479458,5.342334251964811,12.0,0.0,0.0,0.0,1.0
4.24,3.5553480614894135,1.791759469228055,5.579729825986222,12.0,0.0,2.0,0.0,0.0
4.31,4.672828834461906,2.302585092994046,6.6240652277998935,12.0,0.0,2.0,0.0,0.0
3.84,4.248495242049359,1.0986122886681098,5.43372200355424,12.0,0.0,2.0,0.0,1.0
3.86,3.8066624897703196,2.3978952727983707,4.174387269895637,12.0,0.0,2.0,0.0,0.0
4.25,3.2188758248682006,1.3862943611198906,4.394449154672439,12.0,0.0,2.0,0.0,1.0
4.17,9.101417964751995,5.863631175598097,4.07753744390572,13.0,0.0,1.0,0.0,1.0
4.22,9.07165285220229,6.182084906716632,3.713572066704308,13.0,0.0,1.0,0.0,1.0
4.05,5.683579767338681,3.1780538303479458,5.666426688112432,13.0,0.0,0.0,0.0,1.0
4.59,11.52518994779021,7.346655163176539,7.455298485683291,13.0,1.0,1.0,0.0,1.0
3.93,7.29776828253138,4.8283137373023015,5.564520407322694,13.0,0.0,0.0,0.0,0.0
4.07,5.733341276897746,3.367295829986474,5.093750200806762,13.0,0.0,0.0,1.0,0.0
3.74,5.393627546352362,2.6390573296152584,5.860786223465865,13.0,0.0,2.0,0.0,0.0
4.02,5.1298987149230735,2.8903717578961645,5.8664680569332965,13.0,0.0,2.0,0.0,0.0
3.93,4.61512051684126,1.3862943611198906,5.262690188904886,13.0,0.0,2.0,0.0,1.0
2.83,1.0986122886681098,0.6931471805599453,4.941642422609304,13.0,0.0,2.0,0.0,0.0
4.43,5.552959584921617,2.5649493574615367,4.574710978503383,13.0,0.0,0.0,0.0,0.0
